GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Parent,com.crud.rest.controllers,UserFavListController,52,49,3,3,7,12,4,5,1,5
Parent,com.crud.rest.controllers,RatingController,68,89,8,6,12,21,8,8,1,8
Parent,com.crud.rest.controllers,SearchController,65,59,6,4,12,13,6,5,1,5
Parent,com.crud.rest.controllers,MovieController,119,136,15,9,23,31,15,11,3,11
Parent,com.crud.rest.controllers,UserController,48,93,4,6,8,23,4,8,1,6
Parent,com.crud.rest.dao,MovieDaoImpl,387,3,6,0,109,1,19,1,16,1
Parent,com.crud.rest.dao,RatingDaoImpl,853,0,54,0,185,0,40,0,13,0
Parent,com.crud.rest.dao,SearchDaoImpl,679,0,26,0,126,0,24,0,11,0
Parent,com.crud.rest.dao,UserDaoImpl,185,3,6,0,63,1,11,1,8,1
Parent,com.crud.rest.dao,UserFavListDaoImpl,137,0,2,0,39,0,7,0,6,0
Parent,com.crud.rest.service,UserFavListServiceImpl,5,22,0,0,2,6,1,5,1,5
Parent,com.crud.rest.service,RatingServiceImpl,27,35,0,0,7,9,5,8,5,8
Parent,com.crud.rest.service,SearchServiceImpl,36,17,0,0,8,5,7,4,7,4
Parent,com.crud.rest.service,UserServiceImpl,15,26,0,0,5,7,3,6,3,6
Parent,com.crud.rest.service,MovieServiceImpl,28,48,0,0,8,12,6,11,6,11
Parent,com.crud.rest.beans,UserLogin,21,45,0,0,8,20,1,13,1,13
Parent,com.crud.rest.beans,Rating,0,24,0,0,0,11,0,7,0,7
Parent,com.crud.rest.beans,Movie,46,90,0,0,17,39,2,26,2,26
Parent,com.crud.rest.beans,Search,36,0,0,0,16,0,8,0,8,0
Parent,com.crud.rest.beans,UserFavList,12,24,0,0,5,11,1,7,1,7
